;Name;Datum;Datum;Website .at;Website.kz;Info;Sprache 1;Sprache 2;Sprache 3;Infogehalt;kulturelle Adaption;Umschalten;Schewe;Lockwood;Singh/Pereira
1;Akras Flavours GmbH;12.05.16;12.04.17;http://www.akras.at/E2:F45;http://www.akras.kz;;Deutsch;Englisch;Russisch;Gleichschaltung überall;keine;Reiter oben, klicken, Sprachen in jeweiliger Bezeichnung;3c;1;2
2;Askin & Co. GmbH;12.05.16;12.04.17;www.askin.co.at/;http://askin.kz;;Deutsch;Russisch;Englisch;"getrennte Seiten voneinander, bei der dt. Seite funktioniert die englische version nicht; russische seite wirkt extrem alt und rückständig; ";keine erkennbar;"Flaggensymbolik, Österreich, USA; englische Sprache keine Inhalte vorhanden; auf russischer Version KEINE Umschaltmöglichkeit; aber aktueller Kurs Euro/Dollar; Stranica na rekonstrukzii, izvinie za neudobstva! (otsivy)";1a;2;4
3;Austrian Airlines AG;12.05.16;12.04.17;www.austrian.com;;;Englisch;;;"in Kasachstan nur Englisch wählbar, auch nicht auf der bildlichen Ebene angepasst; russische Inhalte sind allerdings vorhanden - zb. Auf der russischen bzw. ukrainsicehn unterseite; ";keine;;1b;1;4
4;BSH – International Luft + Klima;12.05.16;12.04.17;http://www.bsh-int.at/;;Website under construction...;;;;funktioniert nicht, kein Inhalt;;;X;X;X
5;Canon CEE GmbH;12.05.16;12.04.17;;http://www.canon.kz/;;;Russisch;;"werben mit dunkelhäutiger Person; CEE wird aus Österreich aus geregelt, deshalb hier dabei; ";keine;;1a;1;4
6;Cimbria Heid GmbH;12.05.16;12.04.17;http://www.cimbria.com;;;Deutsch (früher);Russisch (früher);Englisch;alle Infos gedoppelt;keine;;1b;2;2
7;CIRO GmbH;13.05.16;12.04.17;https://ciro.at;;nix da!;Englisch;;;"Nur internationale Seite auf Englisch unter .at-Domain; aber voll mit informationen; office auswählbar cimbria kazakhstan; adresse, tel und mail";;;X;X;X
8;Colop Stempelerzeugung Skopek;13.05.16;12.04.17;http://www.colop.com/de/;;"Kontaktdaten hier; Englisch und andere Sprachen";Deutsch;Englisch;;per Drop-Down Sprache wählbar (kein Russisch, kein Kasachisch, nur Englisch);;;3b;1;2
9;Eglo Leuchten GmbH;13.05.16;12.04.17;http://www.eglo.at/austria;http://www.eglo.at/kazakhstan_rus;;;Russisch;;"Möglichkeit, Kasachstan auszuwählen. Sprache ist aber Russisch, übersetzen das Menü auf russisch. Einzelne Texte; aber verwenden hier die Texte für den russischen Raum; z.B. suchen sie auf der Kasachischen Webseite Partner für Russland; Bewusstsein für Mehrsprachigkeit ist prinzipiell da, Niederlande und Canada haben beide mehrsprachige Möglihckeiten; ";;;3a;3;03 04
10;EURODATA Marketing & Consulting;13.05.16;12.04.17;http://www.eurodata.at/;;;;;;"möglicherweise nichtmal Webseite, jedenfalls nicht ansurfbar; auch .at seite ned";;;X;X;X
11;EVER Neuro Pharma GmbH;13.05.16;12.04.17;http://www.everpharma.com/de/;http://www.cerebrolysin.kz;;Russisch;Englisch;;"Haben in Kazachstan keine Unternehmeswebseite, sondern eine Webseite für ein Präpatrat; wenn man auf Kontakt klickt, Map vom Attersee und dann Flaggen oben (Deutschland, England, Russland, China, Polen), das bringt einen auf die jeweilige Seite; Usbekistan nur Telefonnummer und Adresse vom Office mit tel; bei den Sprachversionen kommt man eigtl. nur zu den Kontaktadressen; nicht durchklickbar";keine, betonen eher österreichische Qualität, Foto vom Attersee usw.;;2b;3;4
12;Festo Gesellschaft m.b.H.;13.05.16;12.04.17;https://www.festo.com/net/startpage/;www.festo.kz;;;;;"keine eigene Kasachstan-Seite, läuft unter Russland mit; festo.kz ist registriert; leitet aber auf die Russland-Seite, Sprache lässt sich nicht umschalten";;;1a;3;3
13;Frauscher Sensortechnik GmbH;13.05.16;12.04.17;http://www.frauscher.com;;;Russisch;;;"hat aber den GUS-Raum in Astana, nur Russisch, kein Kasachisch; Please choose your preferred language and location. - echt super eigentlich";keine Anpassung, ihre Produkte stehen im Zentrum;;3b;3;2
14;Frey Wille GmbH & Co KG;13.05.16;12.04.17;http://www.freywille.at/deutsch/?welcome=1&continent=EU;;;Russisch;Englisch;Deutsch;seltsam aufgebaut;;;3b;1;2 bis 3
15;GfK Austria GmbH;13.05.16;12.04.17;;http://www.gfk.com/ru-kz/;;Russisch;Englisch;;kaum Informationen, nur Kontakt. Russisch;;;3b;3;5
16;GrECo International AG;13.05.16;12.04.17;http://www.greco-jlt.com/at/;http://www.greco-jlt.com/kz/;;Russisch;;;Firma vom UWE? Die Haben die Flagge, die Kasachische im Sprachwechsler;;;3a;3;4
17;Grundfos Pumpen-Vertrieb GesmbH;13.05.16;12.04.17;http://www.grundfos.com/;;;Russisch;Englisch;Deutsch;"country selector, dann kann man teilweise feststellen, ob gewechselt werden kann; bsp. Schweiz geht es; seite buggy; sehr schön mit Länderseiten, aber prinzipiell in ZA ist die Wahlsprache Russisch; für alle Unterseiten";;;3b;3;5
18;Henkel Central Eastern Europe;13.05.16;12.04.17;http://www.henkel.at/;www.henkel.ru;;Russisch;;;"erst bei der Auflistung aller Niederlassungen kommt man Henkel Central Asia & Caucasus
78, Masanchi str.
050012  Аlmaty
Kazakhstan";;;3с;3;4 (weil nicht Kasachstan dabei gscheit)
19;Herz Armaturen GmbH;13.05.16;12.04.17;http://www.herz-armaturen.at;http://herz-armaturen.kz/;;Russisch;Englisch;Deutsch;bis ins kleinste Detail dreisprachig;;;3с;1;5
20;HILL International GmbH;13.05.16;12.04.17;http://www.hill-international.com/de.5.0.html;http://www.hill.kz/ru.2519.0.html;;Russisch;Englisch;;Inhalte sind schon angepasst, nennen ihre Kunden in Kasachstan;;;2b;3;2
21;HOERBIGER Kompressortechnik;13.05.16;12.04.17;http://www.hoerbiger.com/#home;;;Russisch;;;keine eigene Kasachstan-Seite, aber wenn man auf Russisch umstellt, tauschen die die Bilder aus;;;3b;1;2 bis 3
22;ILF Beratende Ingenieure ZT GmbH;13.05.16;12.04.17;https://www.ilf.com/de/offices/ilf-kazakhstan-consulting-engineers-llc-2/;;;Englisch;Deutsch;;keine Infos;;nur Infos auf Deutsch, Kontaktdaten;1o;1;2
23;esarom tech trading gmbh;13.05.16;12.04.17;http://www.esarom.com/site/news?lang=en;;;Russisch;Englisch;;"keine eigene Kasachstanseite; TOO Interrom Kazakhstan
Abay ave., 10, room No. 105
    050013 Almaty
    Kazakhstan
: +7 727 261 01 32
: +7 727 272 71 32
info@interrom.kz
http://www.esarom.com
Contact person: Ms Elena Traitli ";;;3b;1;4
24;Julius Meinl Austria GmbH;13.05.16;12.04.17;;http://shop.meinl.com/default/#EU_RU;;Russisch;;;keine eigene Kasachstanseite;;aba kein Russisch, obwohl es angegeben ist, keine kontaktdaten;3b;1;1
25;Julius Blum GmbH;19.11.16;12.04.17;http://www.blum.com/at/de/;http://www.blum.com/kz/ru/;;Russisch;;;;;;3b;1;4
26;Kapsch TraffiCom AG;19.11.16;12.04.17;https://www.kapsch.net/ktc;https://www.kapsch.net/kz.aspx;;Englisch;Deutsch;;;;kein Russisch;3b;3;4 (weil nicht Kasachstan dabei gscheit bzw. keine kz inhalte)
27;KUK-Handels GmbH;19.11.16;12.04.17;http://kuk.com/de/;http://kuk.com/ru/contact/sites;;Russisch;Kasachisch;;"muss man selber wählen die Sprache, nicht das Land; Kontaktdaten zum Land sind dann bei Adresa geregelt und abrufbar";;;3b;1;4
28;Liebherr-Werk Nenzing GmbH;19.11.16;12.04.17;https://www.liebherr.com/ru/kaz/about-liebherr/%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F-liebherr-%D0%B2-%D0%BC%D0%B8%D1%80%D0%B5/%D0%B0%D0%B2%D1%81%D1%82%D1%80%D0%B8%D1%8F/%D0%BD%D0%B5%D0%BD%D1%86%D0%B8%D0%BD%D0%B3/nenzing-gmbh.html;;;Russisch;Deutsch;;;;kasachische sprachinhalte, evtl. sogar 5;3b;1;4
29;Matimex AG;19.11.16;12.04.17;http://www.matimex.at/de/;;;Deutsch;Russisch;;Kontaktdaten sind da, Brief verfassen, mehr nicht;;"über den Reiter oben - verzerrte Flagge Russland und Österreich, sowie ausgeschrieben russkij und Deutsch; Kontaktdaten dann rechts reiter";2b;1;4
30;OMV Exploration & Production GmbH;19.11.16;12.04.17;http://www.omv.com/portal/01/com;;;Englisch;Deutsch;;"OMV Petrom S.A.
(BO Kazakhstan)
Teniz Business Center
4 microdistrict, 18 building
130000 Aktau
Republic of Kazakhstan
Tel.: +7 7292 200 901
Fax: +7 7292 200 910";;kein Russisch;3c;3;5 (aber ned kz)
31;Orion Kazachstan TOO;19.11.16;12.04.17;;http://kisorion.kz/;;Englisch;Russisch;Kasachisch;;;absolut dreisprachig;3c;1;5
32;Panalpina Welttransport GmbH;19.11.16;12.04.17;http://www.panalpina.com/www/aut/de/home.html;http://www.panalpina.com/www/kaz/en/home.html;;Englisch;Russisch;;;;;2;3;4
