;;;;Infos;Sprahcen;Kontakt;Schewe;Lockwood;Singh/Pereira
1;ArcelorMittal;http://corporate.arcelormittal.com/;https://www.arcelormittal.kz;schwer umzuschalten;Englisch only;;"1b; jeweils einsprachig";3;5
2;Cameco Corporation;https://www.cameco.com/;;Cameco is one of the world's largest uranium producers providing about 17% of the world's production from mines in Canada, the US and Kazakhstan. We hold about 415 million pounds of proven and probable reserves, extensive resources and have focused our exploration programs on three continents where our land holdings total about 1.5 million hectares. We are also a leading provider of nuclear fuel processing services, supplying much of the world's reactor fleet with the fuel to generate one of the cleanest sources of electricity available today.;Englisch only;;1b;1;1
3;Chevron;https://www.chevron.com/;https://www.chevron.com/worldwide/kazakhstan;"Chevron is Kazakhstan’s largest private oil producer holding important stakes in the nation’s two biggest oil-producing projects—the Tengiz and Karachaganak fields. Ist schon lustig weil auf dem business report kasachstan ist ein kasache mit pelzmütze dabei; ansonsten gibts report auch auf russisch, aber sonst wenig";Englisch only;"Chevron Eurasia Business Unit 
CDC-1 Center, 7th Floor
 240G Furmanov St.
 Almaty, Kazakhstan 050059
 Telephone: +7.727.298.0662
";1b;1;2
4;Eurasian Natural Resources Corporation;alt: www.enrc.com;neu: https://www.erg.kz/ru;nicht auffindbar;Kasachisch, Russisch, Englisch;;3;1;5
5;HSBC Bank Kazakhstan;http://www.hsbc.kz;http://www.hsbc.com;kz funktioniert nicht;Englisch only;HSBC verkauft JSC Halyk Bank 2014;;;
6;METRO Cash & Carry;https://www.metro.com.kz;;"über die Hauptseite kommt man auf Kasachisch, dann kann man umstellen rechts oben: Kazakhstan Kazak, Rossija Russkij; auf unterseiten gibt’s noch Englisch, allerdings ist die Bebilderung wiederum russisch dann; bei weiterleitung auf www.metroshop.kz ";Kasachisch, Russisch, Englisch;;3b;3;5 (symbolik aber ned)
7;Philip Morris International;https://www.pmi.com;https://www.pmi.com/markets/kazakhstan/en;Welcome to Philip Morris Kazakhstan (PMK). PMK was established in 1993 when Almaty Tobacco Company JSC was acquired. PMK has a modern production facility in the Almaty region. The company manufactures most of international brands locally and exports local tobacco products to other Central Asian countries. social programm ist gut;"nur Englisch bzw. dreisprachig, dabei 700 Beschäftigte in KZ; teilweise übersetzt, aber navigationselemente nicht";"Philip Morris Kazakhstan LLP
Philip Morris Kazakhstan LLP
 040700 Kazakhstan
 Almaty Oblast
 Ily District 
 Otegen Batyr Village
 Zhansugurov Street 1  +7 727 258 88 88  
 +7 727 258 88 89 
";lf englisch, teilweise dreisprachig;3;2
8;RBS (Kazakhstan);http://expocredit.kz;http://www.expocredit.com/;englische version ohne inhalte, kasachisch (menüelemente übersetzt) russisch funkmtionieren gut;Russisch, Kasachsich, Englisch;;3a oder 3b;3;5
9;Siemens;https://www.siemens.com/kz/ru/home.html;;"viel Info da, teilweise auf komische Seiten weitergeleitet; Schweiz sprachbewusst";nur Russisch für Kazakhstan, via global auch Englsich und Deutsch;;1;1;4
10;TeliaSonera;https://www.kcell.kz;http://www.teliacompany.com/en;;Kasachisch, Russisch, Englisch;;3;3;5 (symbolik aber ned)
